program_id,week_start,iso_week,qty,version,published_at
VEH-A,2026-08-24,2026-W35,250,DEMO-1,2026-09-21
VEH-A,2026-08-31,2026-W36,275,DEMO-1,2026-09-21
VEH-A,2026-09-07,2026-W37,300,DEMO-1,2026-09-21
VEH-A,2026-09-14,2026-W38,325,DEMO-1,2026-09-21
VEH-A,2026-09-21,2026-W39,250,DEMO-1,2026-09-21
VEH-A,2026-09-28,2026-W40,275,DEMO-1,2026-09-21
VEH-A,2026-10-05,2026-W41,300,DEMO-1,2026-09-21
VEH-A,2026-10-12,2026-W42,325,DEMO-1,2026-09-21
VEH-A,2026-10-19,2026-W43,250,DEMO-1,2026-09-21
VEH-A,2026-10-26,2026-W44,275,DEMO-1,2026-09-21
VEH-A,2026-11-02,2026-W45,300,DEMO-1,2026-09-21
VEH-A,2026-11-09,2026-W46,325,DEMO-1,2026-09-21
VEH-A,2026-11-16,2026-W47,250,DEMO-1,2026-09-21
VEH-A,2026-11-23,2026-W48,275,DEMO-1,2026-09-21
VEH-A,2026-11-30,2026-W49,300,DEMO-1,2026-09-21
VEH-A,2026-12-07,2026-W50,325,DEMO-1,2026-09-21
VEH-A,2026-12-14,2026-W51,250,DEMO-1,2026-09-21
VEH-A,2026-12-21,2026-W52,275,DEMO-1,2026-09-21
VEH-A,2026-12-28,2026-W53,300,DEMO-1,2026-09-21
VEH-A,2027-01-04,2027-W01,325,DEMO-1,2026-09-21
VEH-A,2027-01-11,2027-W02,250,DEMO-1,2026-09-21
VEH-A,2027-01-18,2027-W03,275,DEMO-1,2026-09-21
VEH-A,2027-01-25,2027-W04,300,DEMO-1,2026-09-21
VEH-A,2027-02-01,2027-W05,325,DEMO-1,2026-09-21
VEH-A,2027-02-08,2027-W06,250,DEMO-1,2026-09-21
VEH-A,2027-02-15,2027-W07,275,DEMO-1,2026-09-21
VEH-A,2027-02-22,2027-W08,300,DEMO-1,2026-09-21
VEH-A,2027-03-01,2027-W09,325,DEMO-1,2026-09-21
VEH-A,2027-03-08,2027-W10,250,DEMO-1,2026-09-21
VEH-A,2027-03-15,2027-W11,275,DEMO-1,2026-09-21
VEH-A,2027-03-22,2027-W12,300,DEMO-1,2026-09-21
VEH-A,2027-03-29,2027-W13,325,DEMO-1,2026-09-21
VEH-A,2027-04-05,2027-W14,250,DEMO-1,2026-09-21
VEH-A,2027-04-12,2027-W15,275,DEMO-1,2026-09-21
VEH-A,2027-04-19,2027-W16,300,DEMO-1,2026-09-21
VEH-A,2027-04-26,2027-W17,325,DEMO-1,2026-09-21
VEH-A,2027-05-03,2027-W18,250,DEMO-1,2026-09-21
VEH-A,2027-05-10,2027-W19,275,DEMO-1,2026-09-21
VEH-A,2027-05-17,2027-W20,300,DEMO-1,2026-09-21
VEH-A,2027-05-24,2027-W21,325,DEMO-1,2026-09-21
VEH-A,2027-05-31,2027-W22,250,DEMO-1,2026-09-21
VEH-A,2027-06-07,2027-W23,275,DEMO-1,2026-09-21
VEH-A,2027-06-14,2027-W24,300,DEMO-1,2026-09-21
VEH-A,2027-06-21,2027-W25,325,DEMO-1,2026-09-21
VEH-A,2027-06-28,2027-W26,250,DEMO-1,2026-09-21
VEH-A,2027-07-05,2027-W27,275,DEMO-1,2026-09-21
VEH-A,2027-07-12,2027-W28,300,DEMO-1,2026-09-21
VEH-A,2027-07-19,2027-W29,325,DEMO-1,2026-09-21
VEH-A,2027-07-26,2027-W30,250,DEMO-1,2026-09-21
VEH-A,2027-08-02,2027-W31,275,DEMO-1,2026-09-21
VEH-A,2027-08-09,2027-W32,300,DEMO-1,2026-09-21
VEH-A,2027-08-16,2027-W33,325,DEMO-1,2026-09-21
VEH-A,2027-08-23,2027-W34,250,DEMO-1,2026-09-21
VEH-A,2027-08-30,2027-W35,275,DEMO-1,2026-09-21
VEH-A,2027-09-06,2027-W36,300,DEMO-1,2026-09-21
VEH-A,2027-09-13,2027-W37,325,DEMO-1,2026-09-21
VEH-A,2027-09-20,2027-W38,250,DEMO-1,2026-09-21
VEH-A,2027-09-27,2027-W39,275,DEMO-1,2026-09-21
VEH-A,2027-10-04,2027-W40,300,DEMO-1,2026-09-21
VEH-A,2027-10-11,2027-W41,325,DEMO-1,2026-09-21
VEH-A,2027-10-18,2027-W42,250,DEMO-1,2026-09-21
VEH-A,2027-10-25,2027-W43,275,DEMO-1,2026-09-21
VEH-A,2027-11-01,2027-W44,300,DEMO-1,2026-09-21
VEH-A,2027-11-08,2027-W45,325,DEMO-1,2026-09-21
VEH-A,2027-11-15,2027-W46,250,DEMO-1,2026-09-21
VEH-A,2027-11-22,2027-W47,275,DEMO-1,2026-09-21
VEH-A,2027-11-29,2027-W48,300,DEMO-1,2026-09-21
VEH-A,2027-12-06,2027-W49,325,DEMO-1,2026-09-21
VEH-A,2027-12-13,2027-W50,250,DEMO-1,2026-09-21
VEH-A,2027-12-20,2027-W51,275,DEMO-1,2026-09-21
VEH-A,2027-12-27,2027-W52,300,DEMO-1,2026-09-21
VEH-A,2028-01-03,2028-W01,325,DEMO-1,2026-09-21
VEH-A,2028-01-10,2028-W02,250,DEMO-1,2026-09-21
VEH-A,2028-01-17,2028-W03,275,DEMO-1,2026-09-21
VEH-A,2028-01-24,2028-W04,300,DEMO-1,2026-09-21
VEH-A,2028-01-31,2028-W05,325,DEMO-1,2026-09-21
VEH-A,2028-02-07,2028-W06,250,DEMO-1,2026-09-21
VEH-A,2028-02-14,2028-W07,275,DEMO-1,2026-09-21
VEH-A,2028-02-21,2028-W08,300,DEMO-1,2026-09-21
VEH-A,2028-02-28,2028-W09,325,DEMO-1,2026-09-21
VEH-A,2028-03-06,2028-W10,250,DEMO-1,2026-09-21
VEH-A,2028-03-13,2028-W11,275,DEMO-1,2026-09-21
VEH-A,2028-03-20,2028-W12,300,DEMO-1,2026-09-21
VEH-A,2028-03-27,2028-W13,325,DEMO-1,2026-09-21
VEH-A,2028-04-03,2028-W14,250,DEMO-1,2026-09-21
VEH-A,2028-04-10,2028-W15,275,DEMO-1,2026-09-21
VEH-A,2028-04-17,2028-W16,300,DEMO-1,2026-09-21
VEH-A,2028-04-24,2028-W17,325,DEMO-1,2026-09-21
VEH-A,2028-05-01,2028-W18,250,DEMO-1,2026-09-21
VEH-A,2028-05-08,2028-W19,275,DEMO-1,2026-09-21
VEH-A,2028-05-15,2028-W20,300,DEMO-1,2026-09-21
VEH-A,2028-05-22,2028-W21,325,DEMO-1,2026-09-21
VEH-A,2028-05-29,2028-W22,250,DEMO-1,2026-09-21
VEH-A,2028-06-05,2028-W23,275,DEMO-1,2026-09-21
VEH-A,2028-06-12,2028-W24,300,DEMO-1,2026-09-21
VEH-A,2028-06-19,2028-W25,325,DEMO-1,2026-09-21
VEH-A,2028-06-26,2028-W26,250,DEMO-1,2026-09-21
VEH-A,2028-07-03,2028-W27,275,DEMO-1,2026-09-21
VEH-A,2028-07-10,2028-W28,300,DEMO-1,2026-09-21
VEH-A,2028-07-17,2028-W29,325,DEMO-1,2026-09-21
VEH-A,2028-07-24,2028-W30,250,DEMO-1,2026-09-21
VEH-A,2028-07-31,2028-W31,275,DEMO-1,2026-09-21
VEH-A,2028-08-07,2028-W32,300,DEMO-1,2026-09-21
VEH-A,2028-08-14,2028-W33,325,DEMO-1,2026-09-21
VEH-A,2028-08-21,2028-W34,250,DEMO-1,2026-09-21
VEH-A,2028-08-28,2028-W35,275,DEMO-1,2026-09-21
VEH-A,2028-09-04,2028-W36,300,DEMO-1,2026-09-21
VEH-A,2028-09-11,2028-W37,325,DEMO-1,2026-09-21
VEH-A,2028-09-18,2028-W38,250,DEMO-1,2026-09-21
VEH-A,2028-09-25,2028-W39,275,DEMO-1,2026-09-21
VEH-A,2028-10-02,2028-W40,300,DEMO-1,2026-09-21
VEH-A,2028-10-09,2028-W41,325,DEMO-1,2026-09-21
VEH-A,2028-10-16,2028-W42,250,DEMO-1,2026-09-21
VEH-A,2028-10-23,2028-W43,275,DEMO-1,2026-09-21
